Ident	IATA	GridLevel	StationType	Latitude	Longitude	MapworldX	MapworldY	FullName	State
09LA		6	1	29.125	-90.206	0	0	ERA	LA
0LS2		6	1	29.117	-90.204	0	0	EVERGREEN	LA
0LS3		6	1	29.297	-89.377	0	0	EVERGREEN	LA
13LA		6	1	29.786	-93.212	0	0	EVERGREEN	LA
1LA9		6	1	29.786	-92.163	0	0	CHEVRON	LA
1VA1		6	1	36.737	-80.45	0	0	MICRO	VA
20GA		6	1	33.757	-84.887	0	0	STOCKMAR	GA
24LA		6	1	29.781	-93.293	0	0	ERA AVIATION	LA
25LA		6	1	29.648	-91.119	0	0	ERA AVIATION	LA
2LA3		6	1	29.826	-92.135	0	0	EXXON	LA
2TA7		6	1	29.718	-93.865	0	0	ERA	TX
2TA8		6	1	26.86	-98.224	0	0	EL COYOTE RANCH	TX
3FD1		6	1	28.19	-82.626	0	0	TAMPA BAY EXECUTIVE	FL
45LA		6	1	29.296	-89.373	0	0	AIR LOGISTICS	LA
4LA4		6	1	29.224	-90.217	0	0	CHEVRON	LA
4TA2		6	1	32.978	-97.489	0	0	COPELAND	TX
51XS		6	1	29.695	-93.965	0	0	EVERGREEN	TX
5LA2		6	1	29.691	-91.195	0	0	MOBIL	LA
67TX		6	1	27.802	-97.853	0	0	OLD HOPPE PLACE	TX
74LA		6	1	29.811	-92.141	0	0	ERA	LA
7FL6		6	1	29.082	-81.047	0	0	SPRUCE CREEK	FL
81LA		6	1	29.788	-93.325	0	0	MOBIL	LA
8GA9		6	1	33.273	-84.412	0	0	BROOKBRIDGE	GA
8LA1		6	1	29.265	-89.358	0	0	CHEVRON	LA
95XS		6	1	29.715	-93.911	0	0	AIR LOGISTICS	TX
9LA3		6	1	29.119	-90.201	0	0	AIR LOGISTICS	LA
9LA4		6	1	29.688	-91.173	0	0	AIR LOGISTICS	LA
9LA7		6	1	29.669	-91.097	0	0	AIR LOGISTICS	LA
ACOC		6	1	43.805	-91.242	0	0	SAINT FRANCIS MEDICAL CENTER	WI
AL67		6	1	30.432	-88.179	0	0	EXXON HELIPORT	AL
BGGH	GOH	1	1	64.2	-51.683	0	0	NUUK	
BGSF	SGJ	1	1	67.017	-50.7	0	0	KANGERLUSSUAQ SONDRE STROMFJORD	
BGTL	THU	1	1	76.533	-68.75	0	0	THULE AIR BASE	
CWAE		2	1	50.133	-122.95	0	0	ALTA LAKE	BC
CWAG		2	1	49.917	-55.667	0	0	LA SCIE	NF
CWAH		4	1	45.85	-64.267	0	0	AMHERST	NS
CWAJ		3	1	42.25	-81.9	0	0	ERIEAU	ON
CWAR		2	1	47.283	-54	0	0	ARGENTIA	NF
CWAS		4	1	49.483	-123.3	0	0	HOWE SOUND	BC
CWAV		4	1	51.767	-114.683	0	0	SUNDRE	AB
CWAW		6	1	44.633	-63.5	0	0	SHEARWATER	NS
CWBF		2	1	47.617	-57.617	0	0	BURGEO	NF
CWBG		1	1	51.267	-123.1	0	0	BIG CREEK	BC
CWBI		1	1	45.8	-80.533	0	0	BRITT/RADAR	ON
CWBK		3	1	45.767	-62.683	0	0	CARIBOU POINT	NS
CWBL		3	1	51.75	-99.9	0	0	BACHELORS ISLAND	MB
CWBM		3	1	55.2	-119.4	0	0	BEAVERLODGE	AB
CWBO		3	1	50.55	-111.85	0	0	BROOKS	AB
CWBV		2	1	44.817	-62.333	0	0	BEAVER ISLAND	NS
CWCA		1	1	53.7	-57.033	0	0	CARTWRIGHT	NF
CWCF		6	1	52.35	-97.033	0	0	BERENS RIVER	MB
CWCH		6	1	48.767	-91.633	0	0	ATIKOKAN	ON
CWCL		2	1	51.15	-121.5	0	0	CLINTON	BC
CWCM		3	1	49.9	-99.35	0	0	CARBERRY MCDC	MB
CWCO		4	1	44.5	-80.217	0	0	COLLINGWOOD	ON
CWCQ		6	1	47	-65.45	0	0	MIRAMICHI	NB
CWCT		6	1	52.067	-111.45	0	0	CORONATION	AB
CWCU		4	1	44.383	-79.783	0	0	BARRIE	ON
CWDA		3	1	50.717	-56.117	0	0	ENGLEE	NF
CWDD		4	1	42.3	-82.7	0	0	BELLE RIVER	ON
CWDH		2	1	50.233	-57.583	0	0	DANIEL'S HARBOR	NF
CWDI		2	1	48.967	-56.067	0	0	BADGER	NF
CWDK		4	1	50	-113.633	0	0	CLARESHOLM	AB
CWDO		3	1	49.683	-54.8	0	0	TWILLINGATE	NF
CWDS		1	1	46.917	-55.383	0	0	ST LAWRENCE	NF
CWDU		5	1	51.083	-114.217	0	0	COP UPPER	AB
CWDW		6	1	51.383	-56.1	0	0	ST ANTHONY	NF
CWDZ		2	1	51.433	-112.667	0	0	DRUMHELLER EAST	AB
CWEA		2	1	50.183	-96.067	0	0	PINAWA	MB
CWEB		2	1	49.383	-126.55	0	0	ESTEVAN POINT	BC
CWEF		2	1	47.233	-60.133	0	0	ST PAUL ISLAND	NS
CWEG		6	1	53.5	-113.5	0	0	EDMONTON/MET	AB
CWEI		2	1	49.283	-100.983	0	0	MELITA	MB
CWEL		5	1	49.217	-123.8	0	0	ENTRANCE ISLAND	BC
CWEQ		3	1	52.117	-101.233	0	0	SWAN RIVER	MB
CWEX		2	1	49	-97.233	0	0	EMERSON	MB
CWEZ		4	1	48.783	-123.05	0	0	SATURNA ISLAND	BC
CWFE		3	1	53.683	-112.867	0	0	ELK ISLAND NATL	AB
CWFG		2	1	50.817	-128.9	0	0	SARTINE ISLAND	BC
CWFJ		1	1	49.2	-113.283	0	0	CARDSTON	AB
CWFO		6	1	54.683	-101.7	0	0	FLIN FLON	MB
CWGB		4	1	49.35	-124.167	0	0	BALLENAL ISLAND	BC
CWGF		1	1	58.683	-113.883	0	0	GARDEN RIVER	AB
CWGM		4	1	49.133	-113.8	0	0	WATERTON PARK GA	AB
CWGN		4	1	49.033	-97.567	0	0	GRETNA	MB
CWGP		5	1	50.3	-121.733	0	0	PEMBERTON	BC
CWGT		4	1	49.483	-124.433	0	0	SISTERS ISLAND	BC
CWGW		6	1	49.75	-114.883	0	0	SPARWOOD	BC
CWGX		1	1	56.367	-94.7	0	0	GILLAM	MB
CWGY		4	1	51.667	-110.2	0	0	ESTHER 1	AB
CWHA		4	1	53.45	-114.467	0	0	HIGHVALE	AB
CWHC		6	1	49.3	-123.117	0	0	VANCOUVER HARBOR	BC
CWHH		2	1	53.033	-100.933	0	0	HUNTERS POINT	MB
CWHI		3	1	51.7	-113.217	0	0	THREE HILLS	AB
CWHK		3	1	53.567	-114.15	0	0	CARVEL/RADAR	AB
CWHO		1	1	55.45	-60.233	0	0	HOPEDALE	NF
CWHX		5	1	44.733	-63.667	0	0	BEDFORD/MET	NS
CWII		4	1	50.7	-96.567	0	0	VICTORIA BEACH	MB
CWIQ		5	1	54.75	-110.05	0	0	PRIMROSE LAKE	AB
CWIY		6	1	47.15	-67.833	0	0	ST LEONARD	NB
CWJD		1	1	53.183	-99.267	0	0	GRAND RAPIDS	MB
CWJR		3	1	49.083	-116.5	0	0	CRESTON	BC
